아마존 세이지메이커란? , "Amazon SageMaker는 완전 관리형 인프라, 도구 및 워크플로를 사용하여 모든 사용 사례에 맞게 데이터를 준비하고 기계 학습 (ML) 모델을 구축, 교육 및 배포할 수 있는 완전 관리형 서비스입니다."
Amazon SageMaker를 사용할 수 있는 지역은 어디입니까?," 지원되는 Amazon SageMaker AWS 지역 목록을 보려면 AWS 지역 서비스 페이지를 방문하십시오. 또한 자세한 내용은 AWS 일반 참조 안내서의 지역별 엔드포인트를 참조하십시오."
Amazon SageMaker의 서비스 가용성은 어떻게 됩니까?,"아마존 세이지메이커는 고가용성을 위해 설계되었습니다. 유지 관리 기간이나 예정된 다운타임은 없습니다. SageMaker API는 Amazon의 검증된 고가용성 데이터 센터에서 실행되며, 각 AWS 지역의 3개 시설에 서비스 스택 복제가 구성되어 서버 장애 또는 가용 영역 중단 발생 시 내결함성을 제공합니다."
Amazon SageMaker는 내 코드를 어떻게 보호합니까? , "Amazon SageMaker는 코드를 ML 스토리지 볼륨에 저장하고 보안 그룹에 의해 보호되며 저장 시 선택적으로 암호화됩니다."
Amazon SageMaker에는 어떤 보안 조치가 있습니까? , "Amazon SageMaker는 ML 모델 아티팩트 및 기타 시스템 아티팩트가 전송 중이거나 저장된 상태에서 암호화되도록 합니다. SageMaker API 및 콘솔에 대한 요청은 보안 (SSL) 연결을 통해 이루어집니다. AWS 자격 증명 및 액세스 관리 역할을 SageMaker에 전달하면 교육 및 배포를 위해 사용자 대신 리소스에 액세스할 수 있는 권한을 제공할 수 있습니다. 암호화된 Amazon 심플 스토리지 서비스 (Amazon S3) 버킷을 사용하여 모델 아티팩트와 데이터에 사용할 수 있을 뿐만 아니라 AWS 키 관리 서비스 (KMS) 키를 SageMaker 노트북, 교육 작업 및 엔드포인트로 전달하여 연결된 ML 스토리지 볼륨을 암호화할 수 있습니다. 아마존 세이지메이커는 아마존 가상 사설 클라우드 (VPC) 와 AWS PrivateLink 지원도 지원합니다."
"아마존 세이지메이커는 모델, 교육 데이터 또는 알고리즘을 사용하거나 공유합니까?" , "Amazon SageMaker는 고객 모델, 교육 데이터 또는 알고리즘을 사용하거나 공유하지 않습니다. 우리는 고객이 개인 정보 보호 및 데이터 보안에 대해 깊이 관심을 갖고 있다는 것을 알고 있습니다. 이것이 바로 AWS가 간단하고 강력한 도구를 통해 콘텐츠에 대한 소유권과 통제권을 부여하는 이유입니다. 사용자는 이를 통해 콘텐츠를 저장할 위치를 결정하고, 전송 중인 콘텐츠와 저장 중인 콘텐츠를 보호하고, 사용자를 위해 AWS 서비스 및 리소스에 대한 액세스를 관리할 수 있습니다. 또한 콘텐츠에 대한 무단 액세스 또는 공개를 방지하도록 설계된 책임감 있고 정교한 기술적 및 물리적 제어를 구현합니다. 고객은 콘텐츠에 대한 소유권을 유지하고 콘텐츠를 처리, 저장 및 호스팅할 수 있는 AWS 서비스를 선택할 수 있습니다. 우리는 귀하의 동의 없이는 어떤 목적으로도 귀하의 콘텐츠에 액세스하지 않습니다."
"Amazon SageMaker에 대한 요금은 어떻게 청구되나요?","노트북 호스팅, 모델 교육, 예측 수행 및 출력 로깅에 사용하는 ML 컴퓨팅, 스토리지 및 데이터 처리 리소스에 대한 비용을 지불합니다. Amazon SageMaker를 사용하면 호스팅된 노트북, 교육 및 모델 호스팅에 사용할 인스턴스의 수와 유형을 선택할 수 있습니다. 사용한 만큼만 비용을 지불하면 되며 최소 요금이나 선결제 약정은 없습니다. 자세한 내용은 아마존 세이지메이커 가격 페이지 및 아마존 세이지메이커 가격 계산기를 참조하십시오."
"불필요한 비용 청구를 방지하기 위해 유휴 리소스를 감지 및 중지하는 등 Amazon SageMaker 비용을 최적화하려면 어떻게 해야 합니까?" , "Amazon SageMaker 리소스 사용률을 최적화하기 위해 채택할 수 있는 몇 가지 모범 사례가 있습니다. 일부 접근 방식에는 구성 최적화가 포함되고 다른 접근 방식에는 프로그래밍 솔루션이 포함됩니다. 시각적 자습서 및 코드 샘플이 포함된 이 개념에 대한 전체 가이드는 이 블로그 게시물에서 찾을 수 있습니다."
"저만의 노트북, 교육 또는 호스팅 환경이 있다면 어떨까요?" , "Amazon SageMaker는 완전한 종단 간 워크플로를 제공하지만 SageMaker와 함께 기존 도구를 계속 사용할 수 있습니다. 비즈니스 요구 사항에 따라 각 단계의 결과를 SageMaker에서 쉽게 내보내고 받을 수 있습니다."
아마존 세이지메이커에서 R이 지원되나요? , "네, R은 아마존 세이지메이커에서 지원됩니다. 사전 설치된 R 커널과 망상 라이브러리가 포함된 SageMaker 노트북 인스턴스 내에서 R을 사용할 수 있습니다. 레티큘레이트는 Amazon SageMaker Python SDK용 R 인터페이스를 제공하여 ML 실무자가 R 모델을 구축, 교육, 조정 및 배포할 수 있도록 합니다."
"모델의 불균형을 어떻게 확인할 수 있나요? , "Amazon SageMaker Clariate는 전체 ML 워크플로우에서 통계적 편향을 감지하여 모델 투명성을 개선하는 데 도움이 됩니다. SageMaker Clarify는 데이터 준비 중, 교육 후, 시간이 지남에 따라 불균형을 확인하고 ML 모델 및 예측을 설명하는 데 도움이 되는 도구도 제공합니다. 조사 결과는 설명 가능성 보고서를 통해 공유할 수 있습니다."
아마존 세이지메이커 클라리파이드는 어떤 종류의 편향을 감지합니까? , "ML 모델의 편향을 측정하는 것이 편향을 완화하는 첫 번째 단계입니다. 편향은 훈련 전과 훈련 후에 측정할 수 있으며 배포된 모델을 추론할 때도 측정할 수 있습니다. 각 편향 측정은 공정성에 대한 서로 다른 개념에 해당합니다. 공정성에 대한 단순한 개념만 고려하더라도 다양한 상황에 적용할 수 있는 다양한 조치를 취할 수 있습니다. 애플리케이션과 조사 중인 상황에 적합한 편향 개념과 지표를 선택해야 합니다. SageMaker는 현재 교육 데이터 (SageMaker 데이터 준비의 일부), 학습된 모델 (Amazon SageMaker 실험의 일부) 및 배포된 모델에 대한 추론 (Amazon SageMaker 모델 모니터의 일부) 에 대해 다양한 편향 지표의 계산을 지원합니다. 예를 들어, 학습 전에 교육 데이터가 대표적인지 (즉, 한 그룹이 제대로 표현되지 않았는지 여부), 그룹 간 레이블 분포에 차이가 있는지 확인하기 위한 메트릭을 제공합니다. 학습 후 또는 배포 중에 메트릭은 모델 성능이 그룹 간에 다른지 여부 (및 정도) 를 측정하는 데 유용할 수 있습니다. 예를 들어 오류율 (모델의 예측이 실제 레이블과 다를 가능성) 을 비교하는 것으로 시작하거나 정밀도 (긍정적인 예측이 정확할 가능성) 와 재현율 (모델이 긍정적인 예를 올바르게 분류할 가능성) 으로 더 세분화합니다."
"Amazon SageMaker Clarify는 어떻게 모델 설명 가능성을 개선합니까?", Amazon SageMaker Clarify는 Amazon SageMaker Experiments와 통합되어 모델 학습 후 모델의 전체 의사 결정 프로세스에서 각 입력의 중요도를 자세히 설명하는 기능 중요도 그래프를 제공합니다. 이러한 세부 정보는 특정 모델 입력이 전체 모델 동작에 생각보다 큰 영향을 미치는지 판단하는 데 도움이 될 수 있습니다. 또한 SageMaker Clarify는 API를 통해 개별 예측에 대한 설명을 제공합니다.
